datetime,price,side,is_intraday,unable_to_trade_days
2019-02-19 12:40:00,898.85,1,True,37
2019-02-19 13:30:00,876.85,-1,True,37
2019-02-19 15:10:00,719.8999999999999,1,True,37
2019-02-20 09:20:00,533.7,-1,True,37
2019-02-20 11:15:00,556.3000000000001,1,True,37
2019-02-20 11:30:00,512.1,-1,True,37
2019-02-20 11:50:00,535.6500000000001,1,True,37
2019-02-20 11:55:00,525.7,-1,True,37
2019-02-20 14:10:00,523.25,1,True,37
2019-02-20 14:15:00,475.9500000000001,-1,True,37
2019-02-20 15:10:00,390.15000000000003,1,True,37
2019-02-21 09:20:00,234.89999999999998,-1,True,37
2019-02-21 09:50:00,253.7,1,True,37
2019-02-21 09:55:00,243.99999999999997,-1,True,37
2019-02-21 15:10:00,52.599999999999994,1,True,37
2019-02-22 09:20:00,1053.55,-1,True,37
2019-02-22 15:10:00,926.5,1,True,37
2019-02-25 09:40:00,745.3,-1,True,37
2019-02-25 13:20:00,740.0,1,True,37
2019-02-25 13:35:00,731.45,-1,True,37
2019-02-25 14:05:00,735.5000000000001,1,True,37
2019-02-25 14:15:00,731.4499999999999,-1,True,37
2019-02-25 14:20:00,732.3000000000001,1,True,37
2019-02-25 14:35:00,731.2499999999998,-1,True,37
2019-02-25 15:00:00,761.4,1,True,37
2019-02-26 10:50:00,959.8,-1,True,37
2019-02-26 11:05:00,965.25,1,True,37
2019-02-26 11:10:00,940.5499999999998,-1,True,37
2019-02-26 11:25:00,974.1499999999999,1,True,37
2019-02-26 11:30:00,957.65,-1,True,37
2019-02-26 14:30:00,937.65,1,True,37
2019-02-26 14:50:00,829.1,-1,True,37
2019-02-26 15:10:00,785.0500000000001,1,True,37
2019-02-27 09:20:00,501.00000000000006,-1,True,37
2019-02-27 11:15:00,582.75,1,True,37
2019-02-28 09:20:00,287.3,-1,True,37
2019-02-28 15:10:00,130.75000000000003,1,True,37
2019-03-01 09:20:00,1083.0,-1,True,37
2019-03-01 15:10:00,979.7500000000001,1,True,37
2019-03-05 09:20:00,745.7499999999999,-1,True,37
2019-03-05 12:25:00,729.3000000000001,1,True,37
2019-03-06 09:20:00,479.4,-1,True,37
2019-03-06 09:25:00,522.7,1,True,37
2019-03-06 09:30:00,501.25,-1,True,37
2019-03-06 09:35:00,507.55,1,True,37
2019-03-06 09:40:00,493.75000000000006,-1,True,37
2019-03-06 10:20:00,517.1,1,True,37
2019-03-06 10:25:00,490.59999999999997,-1,True,37
2019-03-06 15:10:00,318.3,1,True,37
2019-03-07 09:20:00,184.75,-1,True,37
2019-03-07 14:00:00,157.94999999999996,1,True,37
2019-03-08 09:20:00,988.1500000000001,-1,True,37
2019-03-08 10:10:00,983.9499999999998,1,True,37
2019-03-08 12:35:00,979.65,-1,True,37
2019-03-08 14:40:00,999.55,1,True,37
2019-03-08 14:45:00,975.8,-1,True,37
2019-03-08 15:10:00,946.4000000000001,1,True,37
2019-03-11 09:20:00,788.4,-1,True,37
2019-03-11 09:35:00,825.2500000000001,1,True,37
2019-03-11 11:35:00,820.3,-1,True,37
2019-03-11 11:40:00,848.2499999999999,1,True,37
2019-03-11 13:45:00,808.7,-1,True,37
2019-03-11 15:10:00,768.0,1,True,37
2019-03-12 09:20:00,599.9,-1,True,37
2019-03-12 09:45:00,610.55,1,True,37
2019-03-12 10:00:00,600.35,-1,True,37
2019-03-12 10:10:00,617.05,1,True,37
2019-03-12 12:10:00,670.65,-1,True,37
2019-03-12 12:15:00,677.0500000000001,1,True,37
2019-03-12 12:30:00,665.2,-1,True,37
2019-03-12 12:45:00,675.4,1,True,37
2019-03-12 14:00:00,671.0999999999999,-1,True,37
2019-03-12 14:05:00,682.3000000000001,1,True,37
2019-03-13 10:10:00,717.5,-1,True,37
2019-03-13 10:20:00,753.7,1,True,37
2019-03-13 11:55:00,728.05,-1,True,37
2019-03-13 12:00:00,742.5,1,True,37
2019-03-13 12:20:00,721.7,-1,True,37
